date,category,title,amount
2017-04-18,restaurante,Dutomaz Comercio de Al,12.25
2017-04-18,transporte,Sportrodas 5/6,280.83
2017-04-18,transporte,Auto Pecas Federal,30
2017-04-18,transporte,Posto Pit Stop,50
2017-04-19,restaurante,O Padeiro de Sevilha,16
2017-04-19,restaurante,Bom Sabor,13
2017-04-20,saúde,Panvel Filial,9.33
2017-04-20,restaurante,Bom Sabor,13
2017-04-21,restaurante,Ilha Cafe,6
2017-04-24,transporte,Posto Helix,50
2017-04-24,restaurante,Subway,18
2017-04-24,transporte,Allpark Floripa Shop,15
2017-04-24,supermercado,Emporio Linha Natural,24.45
2017-04-24,supermercado,Supermercado Super Com,37.54
2017-04-24,lazer,Cinemark Florianopol,25
2017-04-25,,Pagamento recebido,-226.38
2017-04-26,restaurante,Bom Sabor,13
2017-04-26,restaurante,Laudenir P Martins,10
2017-04-27,,Pagamento recebido,-653.4
2017-04-28,educação,Coursera,96.46
2017-04-28,serviços,Recarga Tim,30
2017-04-28,restaurante,Ilha Cafe,9.5
2017-04-28,restaurante,Bom Sabor,13
2017-04-28,supermercado,Mercearia do Galego,10.5
2017-04-28,,IOF de "Coursera",6.15
2017-04-29,restaurante,Laudenir P Martins,10
2017-04-29,outros,Pagseguro*Herbalife,7.2
2017-04-29,supermercado,Supermercados Hiper Bo,3.5
2017-04-29,supermercado,Bistek Supermercados,142.73
2017-04-29,restaurante,Bom Sabor,13
2017-05-01,supermercado,Mercado Super Compras,8.97
2017-05-01,restaurante,Pad Princesa da Ilha,14
2017-05-01,supermercado,Ang Super Lj,9.98
2017-05-01,supermercado,Ang Super Lj,14.17
2017-05-03,restaurante,Ilha Cafe,10.5
2017-05-03,supermercado,Ang Super Lj,4
2017-05-03,restaurante,Suprema Cafeteria,4.5
2017-05-05,restaurante,Laudenir P Martins,10
2017-05-06,serviços,Isabel Cristina dos,13
2017-05-08,supermercado,Supermercado Super Com,25.49
2017-05-09,supermercado,Massa Viva,5.75
2017-05-09,supermercado,Ang Super Lj,4.99
2017-05-09,supermercado,Ang Super Lj,9.85
2017-05-10,restaurante,Ilha Cafe,5
2017-05-11,serviços,Recarga Tim,15
2017-05-11,viagem,Blueticket,55
2017-05-13,supermercado,Big Flrn Cap Pdv,6.55
2017-05-16,,Pagamento recebido,-554.7
2017-05-16,supermercado,Ang Super Lj,12.91
2017-05-16,restaurante,Bom Sabor,13
2017-05-17,restaurante,Ilha Cafe,5
